,Name,Pos,Team,Opp,ETR MP,Salary,ETRProj,Value,Ceiling,Own,Site,Slate,Scenario,ID,DKName
149,Kevin Love,C,UTA,MIN,7.5,"$3,400",8.2,-11.4,15.2,0.0%,DK,MAIN,Default,40738794,Kevin Love
150,Duop Reath,C,POR,ORL,9.0,"$3,600",8.0,-12.4,14.9,0.0%,DK,MAIN,Default,40738762,Duop Reath
151,Oso Ighodaro,C,PHX,NOP,10.5,"$3,000",7.9,-10.1,14.7,0.0%,DK,MAIN,Default,40738893,Oso Ighodaro
152,Dalen Terry,SF/PF,CHI,SAS,9.0,"$3,000",7.2,-10.8,14.3,0.0%,DK,MAIN,Default (Hedged Ayo & Huerter Starting),40738906,Dalen Terry
153,Jevon Carter,PG/SG,CHI,SAS,8.0,"$3,000",7.1,-10.9,14.2,0.0%,DK,MAIN,Default (Hedged Ayo & Huerter Starting),40738917,Jevon Carter
154,Julian Phillips,SF/PF,CHI,SAS,8.0,"$3,000",5.7,-12.3,12.4,0.0%,DK,MAIN,Default (Hedged Ayo & Huerter Starting),40738927,Julian Phillips
155,Jaden Hardy,PG/SG,DAL,MIL,6.0,"$3,100",5.5,-12.9,12.5,0.0%,DK,MAIN,Default,40738863,Jaden Hardy
156,Bones Hyland,PG/SG,MIN,UTA,5.0,"$3,000",4.8,-13.2,12.1,0.0%,DK,MAIN,Default,40738889,Bones Hyland
157,Tristan Vukcevic,C,WAS,DET,4.0,"$3,000",4.6,-13.4,11.6,0.0%,DK,MAIN,Default,40739148,Tristan Vukcevic
158,Craig Porter Jr.,PG,CLE,MIA,4.0,"$3,300",3.4,-15.8,10.0,0.0%,DK,MAIN,Default,40738808,Craig Porter Jr.
159,Keshad Johnson,SF/PF,MIA,CLE,3.5,"$3,000",3.4,-14.6,10.2,0.0%,DK,MAIN,Default,40738986,Keshad Johnson
160,Ryan Nembhard,PG,DAL,MIL,4.0,"$3,000",3.2,-14.8,10.0,0.0%,DK,MAIN,Default,40738933,Ryan Nembhard
161,Dwight Powell,C,DAL,MIL,4.0,"$3,500",3.1,-16.9,9.8,0.0%,DK,MAIN,Default,40738768,Dwight Powell
162,Jett Howard,SG,ORL,POR,4.0,"$3,000",3.0,-15.0,9.7,0.0%,DK,MAIN,Default,40738952,Jett Howard
163,Jericho Sims,C,MIL,DAL,4.0,"$3,000",2.8,-15.2,9.4,0.0%,DK,MAIN,Default,40739070,Jericho Sims
164,Lindy Waters III,SG/SF,SAS,CHI,3.5,"$3,300",2.6,-16.6,9.3,0.0%,DK,MAIN,Default,40738815,Lindy Waters III
165,EJ Harkless,PG,UTA,MIN,4.0,"$3,000",2.5,-15.5,9.2,0.0%,DK,MAIN,Default,40738903,EJ Harkless
166,Kyle Anderson,PF,UTA,MIN,2.5,"$3,300",2.2,-17.0,9.0,0.0%,DK,MAIN,Default,40738825,Kyle Anderson
167,Karlo Matkovic,PF/C,NOP,PHX,2.0,"$3,100",2.1,-16.3,8.8,0.0%,DK,MAIN,Default,40738867,Karlo Matkovic
168,Rayan Rupert,PG/SG,POR,ORL,3.0,"$3,000",2.1,-15.9,8.7,0.0%,DK,MAIN,Default,40739086,Rayan Rupert
169,Malaki Branham,SG/SF,WAS,DET,2.0,"$3,500",1.7,-18.3,8.3,0.0%,DK,MAIN,Default,40738777,Malaki Branham
170,Will Riley,SF/PF,WAS,DET,2.0,"$3,000",1.6,-16.4,8.2,0.0%,DK,MAIN,Default,40738885,Will Riley
171,Tolu Smith,C,DET,WAS,1.5,"$3,000",1.5,-16.5,8.2,0.0%,DK,MAIN,Default,40739019,Tolu Smith
172,Jase Richardson,PG/SG,ORL,POR,2.0,"$3,000",1.5,-16.5,8.2,0.0%,DK,MAIN,Default,40738959,Jase Richardson
173,Caleb Martin,PF,DAL,MIL,2.0,"$3,000",1.4,-16.6,8.1,0.0%,DK,MAIN,Default,40738939,Caleb Martin
174,Bronny James Jr.,PG/SG,LAL,CHA,2.0,"$3,400",1.3,-18.3,8.0,0.0%,DK,MAIN,Default,40738800,Bronny James
175,Vladislav Goldin,C,MIA,CLE,1.0,"$3,000",1.1,-16.9,7.7,0.0%,DK,MAIN,Default,40738984,Vladislav Goldin
176,Kelly Olynyk,C,SAS,CHI,1.0,"$3,500",1.0,-19.0,7.7,0.0%,DK,MAIN,Default,40738766,Kelly Olynyk
177,Gary Harris,SG/SF,MIL,DAL,1.5,"$3,000",0.9,-17.1,7.4,0.0%,DK,MAIN,Default,40739079,Gary Harris
178,AJ Johnson,PG/SG,WAS,DET,1.0,"$3,000",0.8,-17.2,7.4,0.0%,DK,MAIN,Default,40739153,AJ Johnson
179,Maxi Kleber,PF/C,LAL,CHA,1.0,"$3,400",0.6,-19.0,7.2,0.0%,DK,MAIN,Default,40738796,Maxi Kleber
180,Cody Williams,SF,UTA,MIN,1.0,"$3,100",0.5,-17.9,7.0,0.0%,DK,MAIN,Default,40738879,Cody Williams
181,Anthony Davis,PF,DAL,MIL,0.0,"$9,900",0.0,-45.6,0.0,2.7%,DK,MAIN,Default,40738263,Anthony Davis
