,Player,Week,FPts,xFP,Diff
937,Deebo Samuel,2,17.4,12.15,5.25
1079,Elic Ayomanor,2,15.6,10.36,5.24
2544,Noah Fant,1,12.6,7.37,5.23
355,Brittain Brown,9,9.7,4.47,5.23
940,Deebo Samuel,5,23.6,18.39,5.21
2481,Mitchell Evans,4,11.3,6.09,5.21
1800,Jordan Addison,5,15.1,9.89,5.21
1480,Jakobi Meyers,12,15.0,9.8,5.2
3036,Theo Johnson,7,15.6,10.42,5.18
1439,Jahmyr Gibbs,5,16.7,11.53,5.17
683,D'Andre Swift,2,14.9,9.76,5.14
880,Dawson Knox,6,8.9,3.77,5.13
313,Breece Hall,5,21.5,16.38,5.12
2186,Kyren Williams,6,16.7,11.6,5.1
832,David Martin-Robinson,6,7.1,2.01,5.09
2624,Pat Freiermuth,9,11.7,6.62,5.08
3024,Tez Johnson,6,11.5,6.43,5.07
488,CeeDee Lamb,2,23.2,18.17,5.03
2614,Pat Bryant,8,12.0,6.98,5.02
2068,Kenneth Gainwell,3,9.6,4.58,5.02
588,Christian Watson,8,12.5,7.49,5.01
213,Bam Knight,5,9.4,4.39,5.01
317,Breece Hall,10,19.5,14.5,5.0
2444,Michael Pittman Jr.,5,14.9,9.9,5.0
1609,Jaxon Smith-Njigba,7,29.3,24.31,4.99
2425,Michael Mayer,6,16.0,11.01,4.99
2016,Kayshon Boutte,1,19.3,14.32,4.98
730,Dak Prescott,11,25.32,20.34,4.98
455,Cam Skattebo,8,10.0,5.02,4.98
140,Andrei Iosivas,9,18.0,13.03,4.97
3232,Ty Johnson,9,10.0,5.05,4.95
966,Derrick Henry,9,16.1,11.17,4.93
1324,Isaiah Davis,8,17.9,12.98,4.92
2571,Olamide Zaccheaus,9,17.8,12.89,4.91
1570,Jared Goff,6,16.82,11.92,4.9
1369,Ja'Marr Chase,6,25.1,20.21,4.89
1004,Dillon Gabriel,10,20.08,15.19,4.89
1239,Gunnar Heim,8,10.3,5.42,4.88
356,Brock Bowers,1,18.3,13.42,4.88
2226,Luke Farrell,2,9.5,4.62,4.88
61,Adam Trautman,2,10.0,5.13,4.87
1223,Greg Dortch,6,9.9,5.04,4.86
15,AJ Barner,6,10.1,5.24,4.86
2235,Luke McCaffrey,4,10.1,5.24,4.86
1660,Jaylen Warren,7,22.8,17.95,4.85
2124,Kirk Cousins,12,15.46,10.62,4.84
2973,Taysom Hill,6,6.1,1.26,4.84
1816,Jordan Love,11,17.66,12.83,4.83
1856,Josh Downs,6,16.2,11.37,4.83
3491,Zay Jones,7,8.7,3.87,4.83
11,AJ Barner,2,10.8,6.01,4.79
1245,Gunner Olszewski,12,5.32,0.53,4.79
128,Amon-Ra St. Brown,7,20.6,15.83,4.77
1799,Jordan Addison,4,18.4,13.63,4.77
2756,Ricky Pearsall,1,17.8,13.05,4.75
1549,James Cook,11,20.4,15.66,4.74
446,Cam Akers,5,5.28,0.55,4.73
2190,Kyren Williams,11,16.6,11.88,4.72
3137,TreVeyon Henderson,4,12.6,7.89,4.71
