,player_id,team,opp,pos,name,fpts,proj_own,smash,opto_pct,value_percent,ceil,floor,min_exposure,max_exposure,rg_value,salary,custom,rg_id,partner_id
507,1060299,LAC,DEN,TE,Tucker Fisk,,0.0,,,,3.7,,0,0,-7.75,2500,,3527868,1060299
508,1380476,WAS,LV,WR,Jacoby Jones,,0.0,,,,,,0,0,-8.75,3000,,8275099,1380476
509,836103,WAS,LV,WR,Noah Brown,,0.0,,,,,,0,0,-8.75,3000,,36957,836103
510,920077,LV,WAS,TE,Albert Okwuegbunam Jr.,,0.0,,,,,,0,0,-7.75,2500,,1844837,920077
511,739424,NE,PIT,TE,Austin Hooper,4.04,0.52,,,,8.7,0.9,0,0,-4.31,2800,,35576,739424
512,1164788,NO,SEA,WR,Devaughn Vele,2.35,1.28,,,,7.4,,0,0,-6.8,3200,,6227936,1164788
513,1140248,JAX,HOU,RB,Cody Schrader,,0.0,,,,4.9,,0,0,-10.75,4000,,6228516,1140248
514,1166989,SF,ARI,QB,Kurtis Rourke,,0.0,,,,,,0,0,-13.75,4000,,8228967,1166989
515,1121878,PHI,LAR,WR,Jahan Dotson,2.49,1.26,,,,7.4,,0,0,-6.86,3300,,3491902,1121878
516,1286438,TEN,IND,TE,Gunnar Helm,2.94,0.35,,,,7.3,0.3,0,0,-5.01,2600,,8229047,1286438
517,216342,CLE,GB,QB,Joe Flacco,14.78,2.75,,,,22.6,8.4,0,0,-0.57,4800,,11610,216342
518,1110306,NO,SEA,QB,Tyler Shough,,0.0,,,,,,0,0,-14.55,4400,,8223333,1110306
519,557210,LAC,DEN,WR,Keenan Allen,14.82,14.39,,,,22.9,7.9,0,0,2.67,4700,,16569,557210
520,741262,NE,PIT,QB,Joshua Dobbs,,0.0,,,,,,0,0,-13.75,4000,,36847,741262
521,1231559,GB,CLE,WR,Malik Heath,2.82,1.23,,,,7.9,,0,0,-6.13,3100,,4715974,1231559
522,1181861,SF,ARI,WR,Jacob Cowing,,0.0,,,,,,0,0,-8.75,3000,,6228518,1181861
523,733672,SF,ARI,TE,George Kittle,,0.0,,,,,,0,0,-7.75,2500,,37069,733672
524,865573,NO,SEA,TE,Foster Moreau,,0.0,,,,,,0,0,-7.75,2500,,982728,865573
525,1126817,MIN,CIN,WR,Jalen Nailor,8.37,1.57,,,,15.3,3.3,0,0,-1.98,3800,,3491545,1126817
526,1180321,CAR,ATL,WR,Xavier Legette,8.23,1.59,,,,15.0,3.2,0,0,-1.72,3600,,6227782,1180321
527,1181894,SEA,NO,WR,Tyrone Broden,,0.0,,,,,,0,0,-8.75,3000,,8268762,1181894
528,1125739,PHI,LAR,TE,Cameron Latu,,0.0,,,,,,0,0,-7.75,2500,,4688163,1125739
529,329,CLE,GB,DST,Browns,4.34,1.71,,,,10.5,0.2,0,0,-1.06,2200,,18421,329
530,1060311,HOU,JAX,QB,Davis Mills,,0.0,,,,,,0,0,-14.75,4500,,2861872,1060311
