"RK","Name","POS","Team","Bye","POS","ADP","FPTS","G","FPTS/G","TIER","ATT","CMP","YDS","TD","INT","ATT","YDS","TD","TGT","REC","YDS","TD","UP","DOWN","MOVE","TARGET","WIN"
"83","Tony Pollard","RB","TEN","10","RB28","78.7","200.9","15","13.40","7","0","0","0","0","0","224.5","976.6","6.4","46.8","38.3","209.2","1.2","-","-","-","","-"
"84","Aaron Jones","RB","MIN","6","RB25","69.8","198.9","15","13.26","7","0","0","0","0","0","190.8","832.6","4.6","53.3","44.4","327.7","2.1","-","-","-","-","-"
"85","DeVonta Smith","WR","PHI","9","WR24","52.3","196.9","15","13.12","7","0","0","0","0","0","0.3","1.1","0.0","98.1","68.7","925.3","6.0","-","-","-","-","-"
"86","D'Andre Swift","RB","CHI","5","RB26","72.0","194.6","15","12.97","7","0","0","0","0","0","202.8","830.7","5.9","47.2","38.1","325.6","1.2","-","-","-","-","-"
"87","Jaxson Dart","QB","NYG","14","QB31","235.1","193.2","11","17.56","7","363","230","2581","14.2","8","59.3","328.9","1.8","-","-","-","-","-","-","-","-","-"
"88","Travis Hunter","WR","JAX","8","WR30","64.8","192.9","15","12.86","7","0","0","0","0","0","-","-","-","107.2","71.7","883.8","5.5","-","-","-","-","-"
"89","Jauan Jennings","WR","SF","14","WR44","98.6","191.7","15","12.78","7","0","0","0","0","0","-","-","-","104.7","70.2","887.8","5.5","-","-","-","-","-"
"90","Rashee Rice","WR","KC","10","WR20","44.9","191.2","12","15.93","7","0","0","0","0","0","0.9","3.2","0.0","94.2","73.3","876.8","5.1","-","-","-","-","-"
"91","TreVeyon Henderson","RB","NE","14","RB24","66.8","190.7","15","12.71","7","0","0","0","0","0","180.0","833.7","5.5","44.9","36.7","298.8","1.6","-","-","-","-","-"
"92","Deebo Samuel Sr.","WR","WAS","12","WR39","85.9","189.4","15","12.62","7","0","0","0","0","0","29.8","122.7","1.3","94.1","64.5","784.1","4.5","-","-","-","-","-"
"93","Jakobi Meyers","WR","LV","8","WR38","82.3","188.8","15","12.59","7","0","0","0","0","0","-","-","-","104.8","73.6","858.9","5.0","-","-","-","","-"
"94","Sam LaPorta","TE","DET","8","TE4","49.0","182.0","15","12.13","3","0","0","0","0","0","-","-","-","90.5","69.1","752.3","6.3","-","-","-","-","-"
"95","Isiah Pacheco","RB","KC","10","RB22","62.4","181.2","15","12.08","8","0","0","0","0","0","209.8","878.6","6.7","34.8","29.8","184.3","1.1","-","-","-","","-"
"96","Travis Kelce","TE","KC","10","TE6","65.0","179.7","15","11.98","3","0","0","0","0","0","-","-","-","99.3","74.7","709.4","5.8","-","-","-","","-"
"97","Jordan Addison","WR","MIN","6","WR35","76.3","178.3","13","13.71","8","0","0","0","0","0","0.9","5.1","0.0","99.3","64.6","806.6","5.4","-","-","-","","-"
"98","Jaylen Warren","RB","PIT","5","RB33","94.8","175.1","15","11.67","8","0","0","0","0","0","154.1","681.0","3.9","51.5","43.2","314.0","1.7","-","-","-","-","-"
"99","Josh Downs","WR","IND","11","WR48","104.8","170.4","15","11.36","8","0","0","0","0","0","0.4","2.4","0.0","102.0","68.0","780.1","4.1","-","-","-","","-"
"100","Keenan Allen","WR","LAC","12","WR65","187.5","169.3","14","12.09","8","0","0","0","0","0","-","-","-","98.5","64.4","768.4","4.7","-","-","-","-","-"
"101","Stefon Diggs","WR","NE","14","WR42","89.4","168.2","14","12.02","8","0","0","0","0","0","-","-","-","92.2","66.5","748.5","4.6","-","-","-","-","-"
"102","Chris Olave","WR","NO","11","WR32","70.6","168.1","15","11.21","8","0","0","0","0","0","0.6","4.2","0.0","101.0","63.9","798.3","4.1","-","-","-","-","-"
"103","Rome Odunze","WR","CHI","5","WR37","80.9","167.7","15","11.18","8","0","0","0","0","0","1.1","6.4","0.0","94.5","59.0","772.1","5.3","-","-","-","-","-"
"104","Khalil Shakir","WR","BUF","7","WR41","88.7","164.9","14","11.78","8","0","0","0","0","0","0.6","3.0","0.0","88.0","66.6","724.9","4.3","-","-","-","-","-"
"105","Michael Pittman","WR","IND","11","WR52","116.6","162.7","15","10.85","9","0","0","0","0","0","-","-","-","99.9","64.8","754.9","3.8","-","-","-","-","-"
"106","David Njoku","TE","CLV","9","TE9","91.5","161.0","15","10.73","4","0","0","0","0","0","-","-","-","99.8","69.5","655.2","4.4","-","-","-","","-"
"107","Tyrone Tracy Jr.","RB","NYG","14","RB31","87.2","160.7","15","10.72","9","0","0","0","0","0","173.6","771.7","4.3","38.7","30.6","223.7","1.1","-","-","-","","-"
"108","T.J. Hockenson","TE","MIN","6","TE5","58.4","160.0","15","10.67","4","0","0","0","0","0","-","-","-","91.8","66.7","712.1","3.7","-","-","-","-","-"
"109","Brian Robinson","RB","WAS","12","RB30","83.0","159.8","15","10.65","9","0","0","0","0","0","182.7","770.3","7.5","24.0","19.9","150.2","0.7","-","-","-","-","-"
"110","Mark Andrews","TE","BLT","7","TE7","77.8","159.4","15","10.62","4","0","0","0","0","0","6.5","13.1","0.1","73.1","53.6","710.3","5.5","-","-","-","-","-"
"111","Kaleb Johnson","RB","PIT","5","RB29","79.6","158.9","15","10.60","9","0","0","0","0","0","200.5","889.7","5.9","23.4","19.2","131.7","0.6","-","-","-","-","-"
"112","Chris Godwin","WR","TB","9","WR36","80.5","158.2","12.5","12.66","9","0","0","0","0","0","2.4","11.8","0.1","84.6","61.4","710.8","4.1","-","-","-","-","-"
"113","Ricky Pearsall","WR","SF","14","WR46","101.7","157.4","15","10.50","9","0","0","0","0","0","3.9","22.2","0.1","82.5","56.0","735.0","4.2","-","-","-","","-"
"114","Darnell Mooney","WR","ATL","5","WR50","115.0","156.2","14","11.16","9","0","0","0","0","0","-","-","-","85.1","53.1","796.3","3.9","-","-","-","","-"
"115","Dallas Goedert","TE","PHI","9","TE17","125.2","156.0","15","10.40","4","0","0","0","0","0","-","-","-","83.6","63.5","720.2","3.5","-","-","-","","-"
"116","Anthony Richardson","QB","IND","11","QB29","223.5","155.6","9","17.29","8","250","133","1702","8.7","9","70.4","411.8","4.0","-","-","-","-","-","-","-","-","-"
"117","Evan Engram","TE","DEN","12","TE8","84.4","153.2","15","10.21","4","0","0","0","0","0","-","-","-","90.3","67.1","607.1","4.3","-","-","-","-","-"
"118","Tyler Shough","QB","NO","11","QB34","272.7","152.2","11","13.84","8","360","213","2329","12.7","9","30.6","158.3","0.6","-","-","-","-","-","-","-","-","-"
"119","Emeka Egbuka","WR","TB","9","WR47","102.9","150.8","15","10.05","9","0","0","0","0","0","-","-","-","88.0","55.3","688.8","4.5","-","-","-","-","-"
"120","Tyjae Spears","RB","TEN","10","RB41","139.9","150.3","14","10.74","9","0","0","0","0","0","119.7","503.7","4.0","46.6","39.1","298.9","1.3","-","-","-","-","-"
"121","Rashid Shaheed","WR","NO","11","WR54","140.0","148.4","15","9.90","9","0","0","0","0","0","7.9","49.4","0.1","90.7","49.4","717.5","3.7","-","-","-","","-"
"122","Jake Ferguson","TE","DAL","10","TE16","124.5","147.8","15","9.85","4","0","0","0","0","0","-","-","-","81.9","60.9","583.0","4.9","-","-","-","","-"
"123","Austin Ekeler","RB","WAS","12","RB47","167.7","147.6","15","9.84","9","0","0","0","0","0","79.8","344.8","2.9","56.2","47.9","381.7","1.7","-","-","-","-","-"
"124","Hunter Henry","TE","NE","14","TE20","170.2","146.8","15","9.79","4","0","0","0","0","0","-","-","-","79.0","57.2","622.7","4.6","-","-","-","-","-"
"125","Brenton Strange","TE","JAX","8","TE21","184.8","146.7","15","9.78","4","0","0","0","0","0","-","-","-","80.1","61.1","603.3","4.3","-","-","-","-","-"
"126","Rachaad White","RB","TB","9","RB43","145.6","146.6","15","9.78","9","0","0","0","0","0","123.4","514.6","2.7","46.2","39.6","310.7","1.5","-","-","-","-","-"
"127","Romeo Doubs","WR","GB","5","WR74","208.8","145.3","15","9.69","10","0","0","0","0","0","-","-","-","80.4","52.7","648.0","4.7","-","-","-","-","-"
"128","Joe Mixon","RB","HST","6","RB21","57.1","144.8","12","12.07","10","0","0","0","0","0","157.2","663.6","5.8","28.4","22.6","173.5","0.7","-","-","-","-","-"
"129","Matthew Golden","WR","GB","5","WR43","97.9","144.8","15","9.65","10","0","0","0","0","0","-","-","-","79.1","49.8","665.7","4.8","-","-","-","-","-"
"130","Jonnu Smith","TE","PIT","5","TE11","96.2","144.7","15","9.64","5","0","0","0","0","0","0.7","2.7","0.0","79.1","56.3","629.4","4.2","-","-","-","-","-"
"131","Colston Loveland","TE","CHI","5","TE12","105.0","144.2","15","9.61","5","0","0","0","0","0","-","-","-","77.8","56.8","628.4","4.2","-","-","-","-",""
"132","Jayden Reed","WR","GB","5","WR45","100.6","143.6","14","10.25","10","0","0","0","0","0","6.3","50.8","0.1","65.4","46.4","640.5","4.6","-","-","-","","-"
"133","Cooper Kupp","WR","SEA","8","WR40","86.7","143.3","14","10.24","10","0","0","0","0","0","-","-","-","79.3","52.7","663.4","4.1","-","-","-","-","-"
"134","Zach Ertz","TE","WAS","12","TE18","151.7","142.6","14","10.18","5","0","0","0","0","0","-","-","-","77.3","56.5","548.6","5.2","-","-","-","","-"
"135","Wan'Dale Robinson","WR","NYG","14","WR69","196.7","141.8","15","9.45","10","0","0","0","0","0","1.1","7.0","0.0","91.3","63.6","598.9","2.9","-","-","-","-","-"
"136","Zach Charbonnet","RB","SEA","8","RB38","112.5","141.6","15","9.44","10","0","0","0","0","0","122.1","519.3","4.7","38.0","32.3","246.2","0.8","-","-","-","-","-"
"137","Cedric Tillman","WR","CLV","9","WR66","188.2","141.1","14","10.08","10","0","0","0","0","0","-","-","-","85.4","54.5","660.7","3.5","-","-","-","-","-"
"138","Tucker Kraft","TE","GB","5","TE14","113.1","139.9","15","9.33","5","0","0","0","0","0","2.6","4.4","0.0","66.8","50.7","635.7","4.2","-","-","-","-","-"
"139","Cam Skattebo","RB","NYG","14","RB34","99.0","138.7","15","9.24","10","0","0","0","0","0","136.3","588.2","4.6","33.9","27.4","197.9","1.1","-","-","-","-","-"
"140","Bhayshul Tuten","RB","JAX","8","RB49","169.2","137.9","15","9.19","10","0","0","0","0","0","143.7","649.5","4.1","31.7","26.2","184.7","0.8","-","-","-","-",""
"141","Dalton Kincaid","TE","BUF","7","TE13","110.3","137.5","15","9.17","5","0","0","0","0","0","-","-","-","77.0","54.2","569.4","4.5","-","-","-","-","-"
"142","Adam Thielen","WR","CAR","14","WR61","170.2","136.5","14","9.75","10","0","0","0","0","0","-","-","-","78.7","53.7","598.7","3.9","-","-","-","-","-"
"143","Jerome Ford","RB","CLV","9","RB52","176.5","136.0","14","9.72","10","0","0","0","0","0","146.4","642.9","3.9","31.2","26.6","177.3","0.8","-","-","-","-","-"
"144","Marvin Mims Jr.","WR","DEN","12","WR56","147.5","136.0","15","9.06","10","0","0","0","0","0","13.5","44.0","0.1","70.2","49.5","599.4","3.6","-","-","-","-","-"
"145","Theo Johnson","TE","NYG","14","TE32","265.7","134.5","15","8.97","5","0","0","0","0","0","-","-","-","73.9","53.2","601.0","3.6","-","-","-","-","-"
"146","Mike Gesicki","TE","CIN","10","TE23","194.4","134.2","15","8.95","5","0","0","0","0","0","-","-","-","71.8","55.8","557.9","3.8","-","-","-","-","-"
"147","Daniel Jones","QB","IND","11","QB36","278.2","129.6","8","16.20","9","267","169","1741","8.5","6","47.8","240.1","1.6","-","-","-","-","-","-","-","-","-"
"148","Keon Coleman","WR","BUF","7","WR53","122.9","129.6","15","8.64","11","0","0","0","0","0","-","-","-","67.0","40.6","600.1","4.9","-","-","-","-","-"
"149","Tutu Atwell","WR","LA","8","WR96","287.2","129.4","15","8.62","11","0","0","0","0","0","0.6","3.2","0.0","74.0","49.1","613.8","3.1","-","-","-","-","-"
"150","Ray-Ray McCloud","WR","ATL","5","WR278","695.2","127.5","15","8.50","11","0","0","0","0","0","7.6","60.1","0.3","71.6","51.3","557.6","2.2","-","-","-","-","-"
"151","KaVontae Turpin","WR","DAL","10","WR313","700.1","126.4","15","8.43","11","0","0","0","0","0","31.5","196.7","1.5","53.9","36.0","455.7","2.8","-","-","-","-","-"
"152","Dyami Brown","WR","JAX","8","WR86","262.6","125.1","15","8.34","11","0","0","0","0","0","-","-","-","72.4","48.6","583.4","3.1","-","-","-","-","-"
"153","Andrei Iosivas","WR","CIN","10","WR89","267.5","124.4","15","8.30","11","0","0","0","0","0","-","-","-","69.0","43.9","550.9","4.3","-","-","-","-","-"
"154","Jayden Higgins","WR","HST","6","WR51","116.6","124.2","15","8.28","11","0","0","0","0","0","-","-","-","71.9","46.7","575.0","3.4","-","-","-","-","-"
"155","Quinshon Judkins","RB","CLV","9","RB27","74.9","123.9","12","10.33","11","0","0","0","0","0","132.8","599.6","4.5","24.4","20.7","147.2","0.5","-","-","-","-","-"
