,Player,Pos,Team,Opp,Sal,Projection,Value,MainSlate,Ceiling100,LastUpdate
164,Will Reichard,K,MIN,@TB,,8.7,,N,104.0,2026-09-24 07:46:26 AM
165,Dominic Zvada,K,NYG,TEN,,8.26,,N,104.0,2026-09-24 07:46:26 AM
166,Jason Sanders,K,NYJ,@DET,,8.629999999999999,,N,106.0,2026-09-24 07:46:26 AM
167,Woody Marks,RB,HOU,@IND,5000.0,8.2841,1.6568200000000002,Y,74.0,2026-09-24 07:46:26 AM
168,Cameron Dicker,K,LAC,@BUF,,8.3,,N,101.0,2026-09-24 07:46:26 AM
169,Tyler Allgeier,RB,ARI,@SF,5000.0,8.079999999999998,1.6159999999999997,Y,74.0,2026-09-24 07:46:26 AM
170,Pat Freiermuth,TE,PIT,CIN,3800.0,8.5741,2.256342105263158,Y,78.0,2026-09-24 07:46:26 AM
171,KC DST,DST,KC,@MIA,,7.82,,N,131.0,2026-09-24 07:46:26 AM
172,Spencer Shrader,K,IND,HOU,,7.96,,N,99.0,2026-09-24 07:46:26 AM
173,Harrison Mevis,K,LA,@DEN,,8.14,,N,84.0,2026-09-24 07:46:26 AM
174,Kaleb Johnson,RB,GB,ATL,,7.8758,,N,74.0,2026-09-24 07:46:26 AM
175,Matt Gay,K,LV,@NO,,8.279999999999998,,N,94.0,2026-09-24 07:46:26 AM
176,Justice Hill,RB,BAL,DAL,4200.0,7.669999999999999,1.826190476190476,Y,74.0,2026-09-24 07:46:26 AM
177,Kayshon Boutte,WR,HOU,@IND,4500.0,8.0111,1.7802444444444443,Y,69.0,2026-09-24 07:46:26 AM
178,CAR DST,DST,CAR,@CLE,,8.01,,N,122.0,2026-09-24 07:46:26 AM
179,Kyle Monangai,RB,CHI,PHI,,7.750000000000001,,N,71.0,2026-09-24 07:46:26 AM
180,Jake Ferguson,TE,DAL,BAL,4100.0,8.0107,1.953829268292683,Y,75.0,2026-09-24 07:46:26 AM
181,Joey Slye,K,TEN,@NYG,,8.16,,N,84.0,2026-09-24 07:46:26 AM
182,DeMario Douglas,WR,NE,@JAX,3700.0,8.0546,2.176918918918919,Y,70.0,2026-09-24 07:46:26 AM
183,Alvin Kamara,RB,NO,LV,4800.0,8.069999999999999,1.6812499999999997,Y,71.0,2026-09-24 07:46:26 AM
184,Cade Otton,TE,TB,MIN,3100.0,8.0388,2.5931612903225805,Y,74.0,2026-09-24 07:46:26 AM
185,Chad Ryland,K,ARI,@SF,,7.949999999999999,,N,75.0,2026-09-24 07:46:26 AM
186,Chris Boswell,K,PIT,CIN,,7.96,,N,73.0,2026-09-24 07:46:26 AM
187,PHI DST,DST,PHI,@CHI,,7.17,,N,100.0,2026-09-24 07:46:26 AM
188,Oronde Gadsden,TE,LAC,@BUF,3500.0,8.1696,2.334171428571429,Y,72.0,2026-09-24 07:46:26 AM
189,Roman Wilson,WR,PIT,CIN,3400.0,7.859999999999999,2.3117647058823527,Y,67.0,2026-09-24 07:46:26 AM
190,DET DST,DST,DET,NYJ,,7.57,,N,101.0,2026-09-24 07:46:26 AM
191,NYG DST,DST,NYG,TEN,,7.25,,N,96.0,2026-09-24 07:46:26 AM
192,Andy Borregales,K,NE,@JAX,,7.5,,N,60.0,2026-09-24 07:46:26 AM
193,Kalif Raymond,WR,CHI,PHI,,7.040000000000001,,N,66.0,2026-09-24 07:46:26 AM
194,Kenny Gainwell,RB,TB,MIN,4800.0,7.370000000000001,1.5354166666666669,Y,70.0,2026-09-24 07:46:26 AM
195,Cairo Santos,K,CHI,PHI,,7.069999999999999,,N,64.0,2026-09-24 07:46:26 AM
196,Kenyon Sadiq,TE,NYJ,@DET,3500.0,7.0,2.0,Y,70.0,2026-09-24 07:46:26 AM
197,SF DST,DST,SF,ARI,,6.889999999999999,,N,90.0,2026-09-24 07:46:26 AM
198,Nick Folk,K,ATL,@GB,,6.83,,N,60.0,2026-09-24 07:46:26 AM
199,Drew Stevens,K,WAS,SEA,,7.19,,N,61.0,2026-09-24 07:46:26 AM
200,Colby Parkinson,TE,LA,@DEN,,6.66,,N,83.0,2026-09-24 07:46:26 AM
201,GB DST,DST,GB,ATL,,6.79,,N,85.0,2026-09-24 07:46:26 AM
202,JAX DST,DST,JAX,NE,,7.09,,N,88.0,2026-09-24 07:46:26 AM
203,MarShawn Lloyd,RB,GB,ATL,,7.2857,,N,68.0,2026-09-24 07:46:26 AM
204,Jaylin Noel,WR,HOU,@IND,3600.0,7.1836,1.9954444444444444,Y,66.0,2026-09-24 07:46:26 AM
205,TEN DST,DST,TEN,@NYG,,7.069999999999999,,N,79.0,2026-09-24 07:46:26 AM
206,Riley Patterson,K,MIA,KC,,7.59,,N,60.0,2026-09-24 07:46:26 AM
207,BUF DST,DST,BUF,LAC,,6.94,,N,79.0,2026-09-24 07:46:26 AM
208,MIN DST,DST,MIN,@TB,,7.44,,N,72.0,2026-09-24 07:46:26 AM
209,Pat Bryant,WR,DEN,LA,,7.013,,N,100.0,2026-09-24 07:46:26 AM
210,CIN DST,DST,CIN,@PIT,,7.209999999999999,,N,100.0,2026-09-24 07:46:26 AM
211,Marvin Harrison Jr.,WR,ARI,@SF,4700.0,7.1126000000000005,1.5133191489361704,Y,100.0,2026-09-24 07:46:26 AM
212,HOU DST,DST,HOU,@IND,,7.24,,N,100.0,2026-09-24 07:46:26 AM
213,NO DST,DST,NO,LV,,6.48,,N,100.0,2026-09-24 07:46:26 AM
214,Tre Harris,WR,LAC,@BUF,3900.0,6.894399999999999,1.7677948717948715,Y,100.0,2026-09-24 07:46:26 AM
215,Kendrick Bourne,WR,ARI,@SF,3700.0,7.13,1.9270270270270269,Y,100.0,2026-09-24 07:46:26 AM
216,Evan Engram,TE,DEN,LA,,6.38,,N,100.0,2026-09-24 07:46:26 AM
217,Malachi Fields,WR,NYG,TEN,4400.0,6.29,1.4295454545454545,Y,100.0,2026-09-24 07:46:26 AM
218,Jerry Jeudy,WR,CLE,CAR,3800.0,6.25,1.6447368421052633,Y,100.0,2026-09-24 07:46:26 AM
219,Germie Bernard,WR,PIT,CIN,3900.0,6.640000000000001,1.7025641025641027,Y,100.0,2026-09-24 07:46:26 AM
220,AJ Barner,TE,SEA,@WAS,3100.0,6.5809,2.1228709677419357,Y,100.0,2026-09-24 07:46:26 AM
221,Gunnar Helm,TE,TEN,@NYG,2900.0,6.3433,2.187344827586207,Y,100.0,2026-09-24 07:46:26 AM
222,LV DST,DST,LV,@NO,,6.050000000000001,,N,100.0,2026-09-24 07:46:26 AM
223,TB DST,DST,TB,MIN,,6.25,,N,100.0,2026-09-24 07:46:26 AM
224,CLE DST,DST,CLE,CAR,,6.2,,N,100.0,2026-09-24 07:46:26 AM
225,Mike Gesicki,TE,CIN,@PIT,3300.0,6.08,1.8424242424242423,Y,100.0,2026-09-24 07:46:26 AM
226,Chris Bell,WR,MIA,KC,3400.0,5.54,1.6294117647058823,Y,100.0,2026-09-24 07:46:26 AM
227,PIT DST,DST,PIT,CIN,,6.530000000000001,,N,100.0,2026-09-24 07:46:26 AM
