,Player,Pos,Team,Week,Passing,Rushing,Receiving,xFP
250,Oronde Gadsden,TE,LAC,1,0.0,0.0,2.94,2.94
251,Parker Washington,WR,JAX,1,0.0,0.0,11.05,11.05
252,Pat Bryant,WR,DEN,1,0.0,0.0,8.95,8.95
253,Pat Freiermuth,TE,PIT,1,0.0,0.0,8.08,8.08
254,Patrick Mahomes,QB,KAN,1,10.83,5.3,0.0,16.13
255,Patrick Ricard,RB,NYG,1,0.0,0.0,1.63,1.63
256,Puka Nacua,WR,LAR,1,0.0,0.0,15.87,15.87
257,Quentin Johnston,WR,LAC,1,0.0,0.0,8.91,8.91
258,Quinshon Judkins,RB,CLE,1,0.0,8.41,2.99,11.4
259,Quintin Morris,TE,JAX,1,0.0,0.0,1.57,1.57
260,RJ Harvey,RB,DEN,1,0.0,1.2,4.72,5.92
261,Rachaad White,RB,WAS,1,0.0,3.15,2.81,5.96
262,Raheim Sanders,RB,CLE,1,0.0,1.0,4.1,5.1
263,Rashee Rice,WR,KAN,1,0.0,0.0,3.01,3.01
264,Rashid Shaheed,WR,SEA,1,0.0,0.0,4.9,4.9
265,Rashod Bateman,WR,BAL,1,0.0,0.0,1.94,1.94
266,Ray Davis,RB,BUF,1,0.0,0.68,0.0,0.68
267,Rhamondre Stevenson,RB,NWE,1,0.0,8.64,8.44,17.08
268,Rico Dowdle,RB,PIT,1,0.0,4.29,7.35,11.64
269,Roman Wilson,WR,PIT,1,0.0,0.0,11.22,11.22
270,Rome Odunze,WR,CHI,1,0.0,0.0,5.89,5.89
271,Romeo Doubs,WR,NWE,1,0.0,0.0,5.62,5.62
272,Ronnie Rivers,RB,LAR,1,0.0,4.16,1.83,5.99
273,Ryan Flournoy,WR,DAL,1,0.0,0.0,5.87,5.87
274,Sam Darnold,QB,SEA,1,0.88,0.0,0.0,0.88
275,Sam LaPorta,TE,DET,1,0.0,0.0,11.96,11.96
276,Sam LaPorta,TE,DET,2,0.0,0.0,11.27,11.27
277,Samaje Perine,RB,CIN,1,0.0,3.29,4.43,7.72
278,Saquon Barkley,RB,PHI,1,0.0,8.05,2.79,10.84
279,Seth McGowan,RB,IND,1,0.0,0.0,1.43,1.43
280,Sione Vaki,RB,DET,1,0.0,1.2,1.59,2.79
281,Sione Vaki,RB,DET,2,0.0,0.59,1.32,1.9100000000000001
282,Skyy Moore,WR,GNB,1,0.0,0.0,2.01,2.01
283,Stefon Diggs,WR,WAS,1,0.0,0.0,14.81,14.81
284,Stetson Bennett,QB,LAR,1,1.7,0.61,0.0,2.31
285,TJ Hockenson,TE,MIN,1,0.0,0.0,8.23,8.23
286,Tank Bigsby,RB,PHI,1,0.0,0.98,0.0,0.98
287,Ted Hurst III,WR,TAM,1,0.0,0.0,5.14,5.14
288,Tee Higgins,WR,CIN,1,0.0,0.0,11.27,11.27
289,Terrance Ferguson,TE,LAR,1,0.0,0.0,1.95,1.95
290,Terry McLaurin,WR,WAS,1,0.0,0.0,6.62,6.62
291,Tetairoa McMillan,WR,CAR,1,0.0,0.0,14.5,14.5
292,Tez Johnson,WR,TAM,1,0.0,0.78,1.77,2.55
293,Theo Johnson,TE,NYG,1,0.0,0.0,1.5,1.5
294,Tommy Tremble,TE,CAR,1,0.0,0.0,8.31,8.31
295,Tony Pollard,RB,TEN,1,0.0,3.79,3.51,7.3
296,Travis Etienne,RB,NOR,1,0.0,4.35,13.16,17.509999999999998
297,Travis Hunter,DB,JAX,1,0.0,0.51,1.44,1.95
298,Travis Kelce,TE,KAN,1,0.0,0.0,7.96,7.96
299,Tre Harris,WR,LAC,1,0.0,0.0,8.92,8.92
300,Tre Tucker,WR,LVR,1,0.0,0.0,7.28,7.28
301,Trevor Lawrence,QB,JAX,1,11.63,1.21,0.0,12.84
302,Trey McBride,TE,ARI,1,0.0,0.0,21.14,21.14
303,Troy Franklin,WR,DEN,1,0.0,0.35,1.97,2.32
304,Tucker Kraft,TE,GNB,1,0.0,0.0,10.67,10.67
305,Tyjae Spears,RB,TEN,1,0.0,1.8,5.66,7.46
306,Tyler Allgeier,RB,ARI,1,0.0,10.77,3.08,13.85
307,Tyler Higbee,TE,LAR,1,0.0,0.0,3.12,3.12
308,Tyler Shough,QB,NOR,1,23.62,3.14,0.0,26.76
309,Tyler Warren,TE,IND,1,0.0,0.0,7.67,7.67
310,Tyquan Thornton,WR,KAN,1,0.0,0.0,2.2,2.2
311,Tyrone Tracy,RB,NYG,1,0.0,1.07,0.0,1.07
312,Wan'Dale Robinson,WR,TEN,1,0.0,0.0,8.83,8.83
313,Will Kacmarek,TE,MIA,1,0.0,0.0,1.43,1.43
314,Will Shipley,RB,PHI,1,0.0,1.29,1.46,2.75
315,Woody Marks,RB,HOU,1,0.0,4.56,1.36,5.92
316,Xavier Hutchinson,WR,HOU,1,0.0,0.0,10.26,10.26
317,Xavier Legette,WR,CAR,1,0.0,0.0,3.2,3.2
318,Xavier Worthy,WR,KAN,1,0.0,0.0,9.63,9.63
319,Zay Flowers,WR,BAL,1,0.0,0.0,11.2,11.2
