,Player,Team,Opp,Pos,Pass Att,Pass Comp,Pass Yards,Pass TD,INT,Rush Att,Rush Yds,Rush TD,Tgt,Rec,Rec Yds,Rec TD,Rush Rec TD,Last Update,System
104,Chimere Dike,TEN,JAX,WR,0.0,0,0,0.0,0.0,0.4,1.5,0.01,6.4,4.3,40.5,0.44,0.45,2025-11-27 06:59:21 EST,FPts
105,Tyrone Tracy,NYG,NWE,RB,0.0,0,0,0.0,0.0,11.4,44.2,0.13,3.7,3.0,22.1,0.11,0.24,2025-11-27 06:59:21 EST,FPts
106,Hunter Henry,NWE,NYG,TE,0.0,0,0,0.0,0.0,-,-,0.0,5.1,3.8,45.1,0.44,0.44,2025-11-27 06:59:21 EST,FPts
107,D'Andre Swift,CHI,PHI,RB,0.0,0,0,0.0,0.0,11.0,48.3,0.27,2.8,2.2,19.6,0.05,0.32,2025-11-27 06:59:21 EST,FPts
108,Bam Knight,ARZ,TB,RB,0.0,0,0,0.0,0.0,11.4,37.6,0.46,2.7,2.2,17.6,0.07,0.53,2025-11-27 06:59:21 EST,FPts
109,Quinshon Judkins,CLE,SF,RB,0.0,0,0,0.0,0.0,15.9,62.2,0.43,1.6,1.2,7.4,0.01,0.44,2025-11-27 06:59:21 EST,FPts
110,Jake Ferguson,DAL,KAN,TE,0.0,0,0,0.0,0.0,0.1,0.2,0.0,5.4,4.5,36.4,0.43,0.43,2025-11-27 06:59:21 EST,FPts
111,Darnell Mooney,ATL,NYJ,WR,0.0,0,0,0.0,0.0,-,-,0.0,7.0,3.9,50.3,0.31,0.31,2025-11-27 06:59:21 EST,FPts
112,Harold Fannin,CLE,SF,TE,0.0,0,0,0.0,0.0,0.4,1.4,0.0,6.6,4.4,46.6,0.21,0.21,2025-11-27 06:59:21 EST,FPts
113,Tony Pollard,TEN,JAX,RB,0.0,0,0,0.0,0.0,10.8,38.7,0.27,3.4,2.9,19.5,0.03,0.30000000000000004,2025-11-27 06:59:21 EST,FPts
114,Dallas Goedert,PHI,CHI,TE,0.0,0,0,0.0,0.0,-,-,0.0,5.0,3.9,39.0,0.43,0.43,2025-11-27 06:59:21 EST,FPts
115,Alec Pierce,IND,HOU,WR,0.0,0,0,0.0,0.0,-,-,0.0,5.8,3.1,56.5,0.25,0.25,2025-11-27 06:59:21 EST,FPts
116,John Metchie,NYJ,ATL,WR,0.0,0,0,0.0,0.0,-,-,0.0,5.4,3.9,42.6,0.33,0.33,2025-11-27 06:59:21 EST,FPts
117,Jayden Higgins,HOU,IND,WR,0.0,0,0,0.0,0.0,-,-,0.0,5.8,3.7,40.5,0.4,0.4,2025-11-27 06:59:21 EST,FPts
118,Quentin Johnston,LAC,LVR,WR,0.0,0,0,0.0,0.0,0.1,0.3,0.0,5.1,3.4,43.0,0.4,0.4,2025-11-27 06:59:21 EST,FPts
119,Parker Washington,JAX,TEN,WR,0.0,0,0,0.0,0.0,0.6,2.6,0.01,5.8,3.6,44.9,0.28,0.29000000000000004,2025-11-27 06:59:21 EST,FPts
120,Jerry Jeudy,CLE,SF,WR,0.0,0,0,0.0,0.0,-,-,0.0,7.0,3.6,47.2,0.28,0.28,2025-11-27 06:59:21 EST,FPts
121,DJ Moore,CHI,PHI,WR,0.0,0,0,0.0,0.0,0.7,3.7,0.01,5.7,3.6,45.2,0.23,0.24000000000000002,2025-11-27 06:59:21 EST,FPts
122,Keenan Allen,LAC,LVR,WR,0.0,0,0,0.0,0.0,-,-,0.0,5.3,3.8,42.7,0.29,0.29,2025-11-27 06:59:21 EST,FPts
123,David Montgomery,DET,GB,RB,0.0,0,0,0.0,0.0,9.7,38.7,0.48,1.9,1.7,12.0,0.02,0.5,2025-11-27 06:59:21 EST,FPts
124,Theo Johnson,NYG,NWE,TE,0.0,0,0,0.0,0.0,-,-,0.0,5.3,3.6,38.5,0.35,0.35,2025-11-27 06:59:21 EST,FPts
125,Kayshon Boutte,NWE,NYG,WR,0.0,0,0,0.0,0.0,-,-,0.0,3.8,2.6,47.4,0.37,0.37,2025-11-27 06:59:21 EST,FPts
126,Jakobi Meyers,JAX,TEN,WR,0.0,0,0,0.0,0.0,-,-,0.0,5.3,3.7,43.7,0.24,0.24,2025-11-27 06:59:21 EST,FPts
127,Cade Otton,TB,ARZ,TE,0.0,0,0,0.0,0.0,-,-,0.0,5.7,4.0,39.4,0.22,0.22,2025-11-27 06:59:21 EST,FPts
128,Mike Gesicki,CIN,BAL,TE,0.0,0,0,0.0,0.0,-,-,0.0,5.3,3.5,39.4,0.29,0.29,2025-11-27 06:59:21 EST,FPts
129,Kareem Hunt,KAN,DAL,RB,0.0,0,0,0.0,0.0,9.8,40.0,0.54,1.1,1.0,6.6,0.05,0.5900000000000001,2025-11-27 06:59:21 EST,FPts
130,Brenton Strange,JAX,TEN,TE,0.0,0,0,0.0,0.0,-,-,0.0,4.9,3.7,40.2,0.21,0.21,2025-11-27 06:59:21 EST,FPts
131,Luther Burden,CHI,PHI,WR,0.0,0,0,0.0,0.0,0.5,2.5,0.01,5.1,3.6,42.3,0.1,0.11,2025-11-27 06:59:21 EST,FPts
132,Adonai Mitchell,NYJ,ATL,WR,0.0,0,0,0.0,0.0,-,-,0.0,5.0,2.8,40.2,0.32,0.32,2025-11-27 06:59:21 EST,FPts
133,Tyjae Spears,TEN,JAX,RB,0.0,0,0,0.0,0.0,4.7,18.4,0.09,3.9,3.5,24.9,0.06,0.15,2025-11-27 06:59:21 EST,FPts
134,AJ Barner,SEA,MIN,TE,0.0,0,0,0.0,0.0,0.8,1.1,0.08,3.9,3.1,31.1,0.3,0.38,2025-11-27 06:59:21 EST,FPts
135,Mack Hollins,NWE,NYG,WR,0.0,0,0,0.0,0.0,-,-,0.0,4.3,2.8,41.0,0.27,0.27,2025-11-27 06:59:21 EST,FPts
136,Isiah Pacheco,KAN,DAL,RB,0.0,0,0,0.0,0.0,9.7,41.4,0.21,2.1,1.6,10.7,0.08,0.29,2025-11-27 06:59:21 EST,FPts
137,Michael Carter,ARZ,TB,RB,0.0,0,0,0.0,0.0,5.9,20.6,0.13,3.2,2.7,24.1,0.1,0.23,2025-11-27 06:59:21 EST,FPts
138,Kyle Monangai,CHI,PHI,RB,0.0,0,0,0.0,0.0,10.2,45.2,0.32,1.2,1.0,8.0,0.01,0.33,2025-11-27 06:59:21 EST,FPts
139,Chris Rodriguez,WAS,DEN,RB,0.0,0,0,0.0,0.0,11.2,44.9,0.42,0.9,0.7,5.1,0.01,0.43,2025-11-27 06:59:21 EST,FPts
140,Joshua Palmer,BUF,PIT,WR,0.0,0,0,0.0,0.0,-,-,0.0,4.5,2.9,41.8,0.19,0.19,2025-11-27 06:59:21 EST,FPts
141,Cedric Tillman,CLE,SF,WR,0.0,0,0,0.0,0.0,-,-,0.0,5.1,3.2,34.9,0.25,0.25,2025-11-27 06:59:21 EST,FPts
142,Josh Downs,IND,HOU,WR,0.0,0,0,0.0,0.0,-,-,0.0,5.0,3.6,32.1,0.22,0.22,2025-11-27 06:59:21 EST,FPts
143,Colby Parkinson,LAR,CAR,TE,0.0,0,0,0.0,0.0,-,-,0.0,3.9,3.2,31.0,0.28,0.28,2025-11-27 06:59:21 EST,FPts
144,Greg Dortch,ARZ,TB,WR,0.0,0,0,0.0,0.0,1.0,4.3,0.02,4.7,3.4,31.7,0.16,0.18,2025-11-27 06:59:21 EST,FPts
145,Jalen Coker,CAR,LAR,WR,0.0,0,0,0.0,0.0,-,-,0.0,4.7,3.4,38.4,0.12,0.12,2025-11-27 06:59:21 EST,FPts
146,Colston Loveland,CHI,PHI,TE,0.0,0,0,0.0,0.0,-,-,0.0,4.3,3.0,37.7,0.19,0.19,2025-11-27 06:59:21 EST,FPts
147,Andrei Iosivas,CIN,BAL,WR,0.0,0,0,0.0,0.0,0.3,1.4,0.0,4.7,2.9,35.5,0.21,0.21,2025-11-27 06:59:21 EST,FPts
148,Tez Johnson,TB,ARZ,WR,0.0,0,0,0.0,0.0,1.0,3.8,0.01,4.2,2.7,29.5,0.28,0.29000000000000004,2025-11-27 06:59:21 EST,FPts
149,Jordan Addison,MIN,SEA,WR,0.0,0,0,0.0,0.0,0.1,0.6,0.01,5.3,3.0,36.9,0.16,0.17,2025-11-27 06:59:21 EST,FPts
150,Darius Slayton,NYG,NWE,WR,0.0,0,0,0.0,0.0,-,-,0.0,4.1,2.6,37.6,0.22,0.22,2025-11-27 06:59:21 EST,FPts
151,Ricky Pearsall,SF,CLE,WR,0.0,0,0,0.0,0.0,0.4,1.9,0.0,4.1,2.5,39.6,0.16,0.16,2025-11-27 06:59:21 EST,FPts
152,TJ Hockenson,MIN,SEA,TE,0.0,0,0,0.0,0.0,-,-,0.0,4.9,3.6,30.4,0.15,0.15,2025-11-27 06:59:21 EST,FPts
153,Malik Washington,MIA,NOR,WR,0.0,0,0,0.0,0.0,0.9,4.8,0.01,4.1,3.1,24.9,0.24,0.25,2025-11-27 06:59:21 EST,FPts
