,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
35,PF,Michael Porter Jr. (40588113),Michael Porter Jr.,40588113,PF/F/UTIL,6600,ATL@BKN 10/29/2025 07:30PM ET,BKN,33.5
36,C,Walker Kessler (40588108),Walker Kessler,40588108,C/UTIL,6600,POR@UTA 10/29/2025 09:00PM ET,UTA,41.75
37,PG,Scoot Henderson (40588116),Scoot Henderson,40588116,PG/G/UTIL,6600,POR@UTA 10/29/2025 09:00PM ET,POR,0.0
38,PG,Cooper Flagg (40588119),Cooper Flagg,40588119,PG/G/UTIL,6600,IND@DAL 10/29/2025 08:30PM ET,DAL,26.19
39,SF/PF,Keegan Murray (40588128),Keegan Murray,40588128,SF/PF/F/UTIL,6400,SAC@CHI 10/29/2025 08:00PM ET,SAC,0.0
40,SG,Dyson Daniels (40588132),Dyson Daniels,40588132,SG/G/UTIL,6400,ATL@BKN 10/29/2025 07:30PM ET,ATL,19.69
41,SG,Bennedict Mathurin (40588125),Bennedict Mathurin,40588125,SG/G/UTIL,6400,IND@DAL 10/29/2025 08:30PM ET,IND,44.25
42,SF,Ausar Thompson (40588122),Ausar Thompson,40588122,SF/F/UTIL,6400,ORL@DET 10/29/2025 07:00PM ET,DET,30.62
43,C,Donovan Clingan (40588135),Donovan Clingan,40588135,C/UTIL,6300,POR@UTA 10/29/2025 09:00PM ET,POR,31.5
44,PG,Andrew Nembhard (40588137),Andrew Nembhard,40588137,PG/G/UTIL,6300,IND@DAL 10/29/2025 08:30PM ET,IND,10.25
45,PG/SG,Anfernee Simons (40588140),Anfernee Simons,40588140,PG/SG/G/UTIL,6200,CLE@BOS 10/29/2025 07:00PM ET,BOS,24.62
46,SF,Toumani Camara (40588144),Toumani Camara,40588144,SF/F/UTIL,6200,POR@UTA 10/29/2025 09:00PM ET,POR,24.38
47,C,Jarrett Allen (40588147),Jarrett Allen,40588147,C/UTIL,6100,CLE@BOS 10/29/2025 07:00PM ET,CLE,28.19
48,SF,Max Strus (40588152),Max Strus,40588152,SF/F/UTIL,6000,CLE@BOS 10/29/2025 07:00PM ET,CLE,0.0
49,SF,PJ Washington (40588149),PJ Washington,40588149,SF/F/UTIL,6000,IND@DAL 10/29/2025 08:30PM ET,DAL,32.62
50,SG,Malik Monk (40588155),Malik Monk,40588155,SG/G/UTIL,5900,SAC@CHI 10/29/2025 08:00PM ET,SAC,26.94
51,PG,Dennis Schroder (40588158),Dennis Schroder,40588158,PG/G/UTIL,5800,SAC@CHI 10/29/2025 08:00PM ET,SAC,31.31
52,PG,Tre Jones (40588196),Tre Jones,40588196,PG/G/UTIL,5800,SAC@CHI 10/29/2025 08:00PM ET,CHI,37.75
53,SF/PF,Jerami Grant (40588161),Jerami Grant,40588161,SF/PF/F/UTIL,5800,POR@UTA 10/29/2025 09:00PM ET,POR,32.5
54,SF,Cameron Johnson (40588165),Cameron Johnson,40588165,SF/F/UTIL,5800,NOP@DEN 10/29/2025 09:00PM ET,DEN,15.92
