,Player,Team,Pos,Pass Comp,Pass Att,Pass Yards,Pass TD,Int,Rush Att,Rush Yards,Rush TD,Rec,Rec Yards,Rec TD
71,Devin Leary,BAL,QB,24.67,39.33,262.33,1.57,0.83,3.47,22.27,0.1,0.0,0.0,0.0
72,DJ Uiagalelei,LAC,QB,18.0,30.0,196.0,1.4,0.8,2.0,11.0,0.1,0.0,0.0,0.0
73,Quinn Ewers,MIA,QB,18.0,29.0,187.0,1.4,0.9,3.0,12.0,0.1,0.0,0.0,0.0
74,Will Howard,PIT,QB,16.0,27.0,170.0,1.2,0.8,3.0,12.0,0.1,0.0,0.0,0.0
75,Drew Lock,SEA,QB,15.0,25.0,154.0,1.1,0.7,2.0,7.0,0.1,0.0,0.0,0.0
76,Desmond Ridder,CIN,QB,13.0,22.0,142.0,1.1,0.6,2.0,6.0,0.1,0.0,0.0,0.0
77,Teddy Bridgewater,TB,QB,13.0,21.0,142.0,1.0,0.6,2.0,6.0,0.1,0.0,0.0,0.0
78,Will Grier,DAL,QB,13.0,21.0,134.0,1.0,0.6,2.0,8.0,0.1,0.0,0.0,0.0
79,Bailey Zappe,KAN,QB,13.0,21.0,131.0,1.0,0.6,2.0,5.0,0.0,0.0,0.0,0.0
80,Kyle Allen,DET,QB,14.0,21.0,144.0,1.1,0.5,2.0,4.0,0.0,0.0,0.0,0.0
81,Brett Rypien,MIN,QB,12.0,20.0,135.0,0.9,0.6,2.0,6.0,0.0,0.0,0.0,0.0
82,Case Keenum,CHI,QB,12.0,20.0,123.0,0.9,0.6,2.0,4.0,0.0,0.0,0.0,0.0
83,Josh Johnson,WAS,QB,12.0,20.0,129.0,0.9,0.6,1.0,2.0,0.0,0.0,0.0,0.0
84,Cam Miller,LVR,QB,12.0,18.0,125.0,0.7,0.5,2.0,9.0,0.1,0.0,0.0,0.0
85,Sam Ehlinger,DEN,QB,11.0,18.0,112.0,0.8,0.5,2.0,8.0,0.1,0.0,0.0,0.0
86,Easton Stick,ATL,QB,11.0,18.0,125.0,0.8,0.5,2.0,7.0,0.0,0.0,0.0,0.0
87,Jack Plummer,CAR,QB,11.0,18.0,111.0,0.7,0.5,1.0,4.0,0.0,0.0,0.0,0.0
