"Player","Pos","Team","Opp","DK Proj","FD Proj","FFPC Proj","Standard Proj","Half PPR Proj","Full PPR Proj","DK Ceiling","FD Ceiling","Slate"
"Justin Jefferson","WR","MIN","@LAC","17.8","14.8","16.8","10.9","13.9","16.8","31.7","27.3","Thursday"
"Joe Flacco","QB","CIN","NYJ","17.7","17.5","18.5","15.9","15.9","15.9","27.7","27.7","Main"
"Javonte Williams","RB","DAL","@DEN","17.6","15.9","16.9","13.7","15.2","16.8","30.3","28.2","Main"
"Breece Hall","RB","NYJ","@CIN","17.6","15.9","16.9","13.6","15.2","16.8","29.9","27.8","Main"
"Carson Wentz","QB","MIN","@LAC","17.1","16.8","18.1","15.5","15.5","15.5","26.9","26.8","Thursday"
"Chris Olave","WR","NO","TB","17.1","13.8","16.4","9.8","13.1","16.3","30.0","25.3","Main"
"Jaylen Warren","RB","PIT","GB","17.1","15.2","16.7","12.9","14.7","16.6","29.5","27.0","Sunday"
"Derrick Henry","RB","BAL","CHI","17.0","16.3","16.2","14.9","15.5","16.1","31.1","30.2","Main"
"CJ Stroud","QB","HOU","SF","16.9","16.6","18.0","15.5","15.5","15.5","26.4","26.3","Main"
"Drake London","WR","ATL","MIA","16.4","13.7","15.7","10.2","12.9","15.7","30.2","26.1","Main"
"Michael Penix","QB","ATL","MIA","16.3","16.2","17.4","14.9","14.9","14.9","26.4","26.4","Main"
"Tyrod Taylor","QB","NYJ","@CIN","16.3","16.0","17.3","15.0","15.0","15.0","25.7","25.6","Main"
"Mac Jones","QB","SF","@HOU","16.2","16.0","17.2","14.5","14.5","14.5","25.6","25.5","Main"
"Marcus Mariota","QB","WAS","@KC","16.1","15.8","17.1","14.8","14.8","14.8","25.9","25.8","Monday"
"Zay Flowers","WR","BAL","CHI","15.9","13.2","15.2","9.8","12.5","15.1","29.5","25.5","Main"
"Tyler Warren","TE","IND","TEN","15.8","13.0","18.0","9.7","12.5","15.2","28.2","24.1","Main"
"Aaron Rodgers","QB","PIT","GB","15.8","15.6","16.9","14.3","14.3","14.3","25.1","25.0","Sunday"
"AJ Brown","WR","PHI","NYG","15.6","13.0","14.9","9.7","12.3","14.9","28.9","25.0","Main"
"Kimani Vidal","RB","LAC","MIN","15.3","13.7","14.9","11.9","13.3","14.7","27.2","25.2","Thursday"
"Quinshon Judkins","RB","CLE","@NE","15.0","14.0","14.1","12.4","13.2","14.0","26.7","25.6","Main"
"Jaylen Waddle","WR","MIA","@ATL","14.9","12.3","14.3","9.1","11.7","14.3","27.5","23.7","Main"
"George Pickens","WR","DAL","@DEN","14.8","12.5","14.2","9.7","12.0","14.2","27.8","24.4","Main"
"Alvin Kamara","RB","NO","TB","14.8","12.5","14.6","10.2","12.4","14.5","25.8","22.8","Main"
"Andy Dalton","QB","CAR","BUF","14.6","14.4","15.6","13.1","13.1","13.1","23.3","23.2","Main"
"DK Metcalf","WR","PIT","GB","14.6","12.3","14.0","9.4","11.7","14.0","27.8","24.2","Sunday"
"Courtland Sutton","WR","DEN","DAL","14.3","12.0","13.8","9.3","11.5","13.7","27.0","23.6","Main"
"Stefon Diggs","WR","NE","CLE","14.2","11.5","13.7","8.4","11.1","13.7","26.3","22.4","Main"
"Ladd McConkey","WR","LAC","MIN","14.1","11.5","13.7","8.4","11.0","13.6","26.4","22.5","Thursday"
"Romeo Doubs","WR","GB","@PIT","14.0","11.6","13.4","8.7","11.1","13.4","26.4","22.8","Sunday"
"Michael Pittman","WR","IND","TEN","14.0","11.3","13.5","8.3","10.9","13.5","26.4","22.5","Main"
"Chase Brown","RB","CIN","NYJ","13.9","12.5","13.6","10.8","12.2","13.5","25.7","23.8","Main"
"DeVonta Smith","WR","PHI","NYG","13.9","11.3","13.3","8.3","10.8","13.3","26.1","22.3","Main"
"D'Andre Swift","RB","CHI","@BAL","13.8","12.3","13.6","10.6","12.0","13.5","25.0","23.0","Main"
"Tetairoa McMillan","WR","CAR","BUF","13.7","11.3","13.2","8.5","10.8","13.2","25.6","22.0","Main"
"Xavier Worthy","WR","KC","WAS","13.7","11.5","13.3","9.0","11.1","13.3","25.8","22.6","Monday"
"Tua Tagovailoa","QB","MIA","@ATL","13.6","13.4","14.7","12.3","12.3","12.3","22.0","21.9","Main"
"Cam Skattebo","RB","NYG","@PHI","13.6","12.0","13.4","10.3","11.8","13.3","24.1","22.0","Main"
"Keenan Allen","WR","LAC","MIN","13.3","10.7","13.0","7.8","10.4","12.9","24.9","21.2","Thursday"
"Rome Odunze","WR","CHI","@BAL","13.2","11.1","12.8","8.5","10.6","12.7","25.5","22.3","Main"
"Tee Higgins","WR","CIN","NYJ","13.1","11.0","12.7","8.6","10.6","12.7","25.3","22.1","Main"
